%time,field.vehicle_info_batch0.actor_pos.x,field.vehicle_info_batch0.actor_pos.y,field.vehicle_info_batch0.actor_pos.z,field.vehicle_info_batch0.actor_vel.x,field.vehicle_info_batch0.actor_vel.y,field.vehicle_info_batch0.actor_vel.z,field.vehicle_info_batch0.actor_acc.x,field.vehicle_info_batch0.actor_acc.y,field.vehicle_info_batch0.actor_acc.z,field.vehicle_info_batch0.actor_psi,field.vehicle_info_batch0.actor_speed,field.vehicle_info_batch0.actor_width,field.vehicle_info_batch0.actor_length,field.vehicle_info_batch1.actor_pos.x,field.vehicle_info_batch1.actor_pos.y,field.vehicle_info_batch1.actor_pos.z,field.vehicle_info_batch1.actor_vel.x,field.vehicle_info_batch1.actor_vel.y,field.vehicle_info_batch1.actor_vel.z,field.vehicle_info_batch1.actor_acc.x,field.vehicle_info_batch1.actor_acc.y,field.vehicle_info_batch1.actor_acc.z,field.vehicle_info_batch1.actor_psi,field.vehicle_info_batch1.actor_speed,field.vehicle_info_batch1.actor_width,field.vehicle_info_batch1.actor_length,field.vehicle_info_batch2.actor_pos.x,field.vehicle_info_batch2.actor_pos.y,field.vehicle_info_batch2.actor_pos.z,field.vehicle_info_batch2.actor_vel.x,field.vehicle_info_batch2.actor_vel.y,field.vehicle_info_batch2.actor_vel.z,field.vehicle_info_batch2.actor_acc.x,field.vehicle_info_batch2.actor_acc.y,field.vehicle_info_batch2.actor_acc.z,field.vehicle_info_batch2.actor_psi,field.vehicle_info_batch2.actor_speed,field.vehicle_info_batch2.actor_width,field.vehicle_info_batch2.actor_length,field.vehicle_info_batch3.actor_pos.x,field.vehicle_info_batch3.actor_pos.y,field.vehicle_info_batch3.actor_pos.z,field.vehicle_info_batch3.actor_vel.x,field.vehicle_info_batch3.actor_vel.y,field.vehicle_info_batch3.actor_vel.z,field.vehicle_info_batch3.actor_acc.x,field.vehicle_info_batch3.actor_acc.y,field.vehicle_info_batch3.actor_acc.z,field.vehicle_info_batch3.actor_psi,field.vehicle_info_batch3.actor_speed,field.vehicle_info_batch3.actor_width,field.vehicle_info_batch3.actor_length,field.walker_info_batch0.actor_pos.x,field.walker_info_batch0.actor_pos.y,field.walker_info_batch0.actor_pos.z,field.walker_info_batch0.actor_vel.x,field.walker_info_batch0.actor_vel.y,field.walker_info_batch0.actor_vel.z,field.walker_info_batch0.actor_acc.x,field.walker_info_batch0.actor_acc.y,field.walker_info_batch0.actor_acc.z,field.walker_info_batch0.actor_psi,field.walker_info_batch0.actor_speed,field.walker_info_batch0.actor_width,field.walker_info_batch0.actor_length,field.walker_info_batch1.actor_pos.x,field.walker_info_batch1.actor_pos.y,field.walker_info_batch1.actor_pos.z,field.walker_info_batch1.actor_vel.x,field.walker_info_batch1.actor_vel.y,field.walker_info_batch1.actor_vel.z,field.walker_info_batch1.actor_acc.x,field.walker_info_batch1.actor_acc.y,field.walker_info_batch1.actor_acc.z,field.walker_info_batch1.actor_psi,field.walker_info_batch1.actor_speed,field.walker_info_batch1.actor_width,field.walker_info_batch1.actor_length,field.walker_info_batch2.actor_pos.x,field.walker_info_batch2.actor_pos.y,field.walker_info_batch2.actor_pos.z,field.walker_info_batch2.actor_vel.x,field.walker_info_batch2.actor_vel.y,field.walker_info_batch2.actor_vel.z,field.walker_info_batch2.actor_acc.x,field.walker_info_batch2.actor_acc.y,field.walker_info_batch2.actor_acc.z,field.walker_info_batch2.actor_psi,field.walker_info_batch2.actor_speed,field.walker_info_batch2.actor_width,field.walker_info_batch2.actor_length,field.walker_info_batch3.actor_pos.x,field.walker_info_batch3.actor_pos.y,field.walker_info_batch3.actor_pos.z,field.walker_info_batch3.actor_vel.x,field.walker_info_batch3.actor_vel.y,field.walker_info_batch3.actor_vel.z,field.walker_info_batch3.actor_acc.x,field.walker_info_batch3.actor_acc.y,field.walker_info_batch3.actor_acc.z,field.walker_info_batch3.actor_psi,field.walker_info_batch3.actor_speed,field.walker_info_batch3.actor_width,field.walker_info_batch3.actor_length
1.71774116339893E+018,117.93482208252,-251.374160766602,13.5999994277954,0.001068115234375,-0.001220703125,0,0.01068115234375,-0.01220703125,0,0.187098651328808,0.00492545351298,0,0,143.955520629883,-249.411514282227,13.8824424743652,-4.05568607675377E-06,-8.97468999028206E-06,-1.78731568212243E-06,0.000113663736556,-8.44644528115168E-05,0.000563645386137,0.696199111373689,1.00094029453511E-05,3.07,6.037,215.466064453125,-236.484024047852,13.9642963409424,0,0,0,-0.000243226983002,0.001481393352151,-0.000612263102084,0.190295576480367,0,3.07,6.037,218.136688232422,-228.331008911133,13.9989643096924,-8.0568715929985E-06,2.52793724939693E-05,-2.05595133593306E-05,-4.84865267935675E-05,4.25819052907173E-05,-0.00019559483917,0.190168244090747,3.35656586875248E-05,3.07,6.037,186.251983642578,-232.778991699219,14.9308776855469,0,0,0,0,0,0,0.19006737686446,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71774116349885E+018,117.934860229492,-251.370986938477,13.5999994277954,0.000381469726563,0.03173828125,0,0.003814697265625,0.3173828125,0,0.18712914452329,0.004766181711784,0,0,143.955520629883,-249.411514282227,13.8824424743652,-3.6920048387401E-06,-9.71302324614953E-06,-4.46077592641814E-06,7.72857856645715E-06,-1.60680883709574E-05,-4.21170188928954E-05,0.696199111373689,1.13080609378988E-05,3.07,6.037,215.466064453125,-236.484024047852,13.9642963409424,5.72700992051978E-06,-2.76327118626796E-05,5.26512712895055E-06,2.84346933767665E-05,4.43589669885114E-05,0.000168114143889,0.190295576480367,2.87069150414951E-05,3.07,6.037,218.136688232422,-228.331008911133,13.9989643096924,-7.58154283175827E-06,2.51321853284026E-05,-2.23137249122374E-05,4.46755402663257E-05,-5.12022779730614E-05,9.53320559347048E-05,0.190168244090747,3.44529947979847E-05,3.07,6.037,186.251983642578,-232.778991699219,14.9308776855469,0,0,0,0,0,0,0.19006737686446,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71774116359891E+018,117.934989929199,-251.371231079102,13.5999994277954,0.001296997070313,-0.00244140625,0,0.012969970703125,-0.0244140625,0,0.18715113224704,0.002678705371287,0,0,143.955520629883,-249.411514282227,13.8824424743652,-4.65940684080124E-06,-7.36851234250935E-06,-1.31134420371382E-05,2.6719590096036E-06,-4.88944351673126E-06,-4.19468960899394E-05,0.696199111373689,1.57469809268698E-05,3.07,6.037,215.466064453125,-236.484024047852,13.9642963409424,5.71345890421071E-06,-2.88162009383086E-05,8.79816070664674E-06,4.8522837460041E-05,-5.51566699868999E-05,0.000172850355739,0.190295576480367,3.06663444346904E-05,3.07,6.037,218.136688232422,-228.331008911133,13.9989643096924,-7.97981374489609E-06,2.55443519563414E-05,-2.50192260864424E-05,-3.87708496418782E-06,4.08845153287984E-06,-3.04905370285269E-05,0.190168244090747,3.66354066203337E-05,3.07,6.037,186.251983642578,-232.778991699219,14.9308776855469,0,0,0,0,0,0,0.19006737686446,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71774116369889E+018,117.935173034668,-251.371475219727,13.5999994277954,0.0018310546875,-0.00244140625,0,0.018310546875,-0.0244140625,0,0.187203063888296,0.001564381989917,0,0,143.955520629883,-249.411514282227,13.8824424743652,-3.53853215528943E-06,-1.01336090665427E-05,-8.21651428850601E-06,9.22614162846003E-06,-8.0058365711011E-05,-0.000130353626446,0.696199111373689,1.35174831082105E-05,3.07,6.037,215.466064453125,-236.484024047852,13.9642963409424,5.71655118619674E-06,-2.9838867703802E-05,1.15880156954518E-05,-1.41914824780542E-05,5.40017026651185E-05,0.000477822381072,0.190295576480367,3.25164433951107E-05,3.07,6.037,218.136688232422,-228.331008911133,13.9989643096924,-8.9357235992793E-06,2.48263768298784E-05,-1.2779369171767E-05,-3.27974703395739E-05,-5.67063580092508E-05,0.000709027226549,0.190168244090747,2.93173740155927E-05,3.07,6.037,186.251983642578,-232.778991699219,14.9308776855469,0,0,0,0,0,0,0.19006737686446,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71774116379885E+018,117.935279846191,-251.371475219727,13.5999994277954,0.001068115234375,0,0,0.01068115234375,0,0,0.187235055110891,0.002905776394923,0,0,143.955520629883,-249.411514282227,13.8824424743652,-3.48366779689968E-06,-1.02296098702936E-05,-9.0844414444291E-06,9.2168420451344E-06,-8.20653440314345E-05,-0.000136077054776,0.696199111373689,1.41176462547702E-05,3.07,6.037,215.466064453125,-236.484024047852,13.9642963409424,4.36922528024297E-06,-2.7605556169874E-05,2.18770692299586E-05,-6.31138609605841E-05,0.000106390507426,0.000375875650207,0.190295576480367,3.54931404512194E-05,3.07,6.037,218.136688232422,-228.331008911133,13.9989643096924,-8.15598286862951E-06,2.84756715700496E-05,-1.91513099707663E-05,1.23689005704364E-05,0.000135425492772,0.000540376640856,0.190168244090747,3.52726041215428E-05,3.07,6.037,186.251983642578,-232.778991699219,14.9308776855469,0,0,0,0,0,0,0.19006737686446,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71774116389881E+018,117.935493469238,-251.371826171875,13.5999994277954,0.00213623046875,-0.003509521484375,0,0.0213623046875,-0.03509521484375,0,0.187178579451024,0.00416289446203,0,0,143.955520629883,-249.411514282227,13.8824424743652,-4.25702864959021E-06,-6.93613628754974E-06,-1.72898107848596E-05,-3.7734855141025E-05,0.00015729945153,-0.001098956679925,0.696199111373689,1.91094174819418E-05,3.07,6.037,215.466064453125,-236.484024047852,13.9642963409424,5.85360430704895E-06,-2.72833185590571E-05,1.5593981515849E-05,7.71540071582422E-05,2.87834154732991E-05,-0.000579937652219,0.190295576480367,3.1965863268417E-05,3.07,6.037,218.136688232422,-228.331008911133,13.9989643096924,-6.26863902652985E-06,2.1263769667712E-05,-2.64429199887672E-05,2.97054612019565E-05,6.73830072628334E-05,-0.000401233235607,0.190168244090747,3.45061118247013E-05,3.07,6.037,186.251983642578,-232.778991699219,14.9308776855469,0,0,0,0,0,0,0.19006737686446,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71774116399891E+018,117.935661315918,-251.372085571289,13.5999994277954,0.001678466796875,-0.002593994140625,0,0.01678466796875,-0.02593994140625,0,0.187154095013752,0.001863991372292,0,0,143.955520629883,-249.411514282227,13.8824434280396,-3.37145274897921E-06,-1.00698507594643E-05,1.95160328075872E-06,2.0354150365165E-06,-6.13778829574585E-05,-0.000144949051901,0.696199111373689,1.07970988382043E-05,3.07,6.037,215.466064453125,-236.484024047852,13.9642963409424,5.18758770340355E-06,-2.6892796086031E-05,2.75178217634675E-06,-2.36607083934359E-05,-7.18850933481008E-05,-8.93964825081639E-05,0.190295576480367,2.75264573211194E-05,3.07,6.037,218.136688232422,-228.331008911133,13.9989643096924,-8.48729177960195E-06,2.52880890911911E-05,-1.0833568921953E-05,-7.40103569114581E-05,-5.64941728953272E-06,0.000547564995941,0.190168244090747,2.87904113764083E-05,3.07,6.037,186.251983642578,-232.778991699219,14.9308776855469,0,0,0,0,0,0,0.19006737686446,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71774116409884E+018,117.935836791992,-251.372207641602,13.5999994277954,0.001754760742188,-0.001220703125,0,0.017547607421875,-0.01220703125,0,0.18712694741539,0.002057381225865,0,0,143.955520629883,-249.411514282227,13.8824424743652,-3.20611525239656E-06,-9.14325937628746E-06,4.69613354425746E-07,4.33684363088105E-05,6.63688260829076E-05,0.00093993084738,0.696199111373689,9.70045894462594E-06,3.07,6.037,215.466064453125,-236.484024047852,13.9642963409424,5.6446342568961E-06,-2.89555264316732E-05,7.08969537299708E-06,5.4095835366752E-06,-3.49618858308531E-05,7.72804487496614E-05,0.190295576480367,3.03405370307011E-05,3.07,6.037,218.136688232422,-228.331008911133,13.9989643096924,-7.1525200837641E-06,2.40739063883666E-05,-2.34322524192976E-05,6.18351332377642E-05,-9.85636725090444E-05,-0.000393492780859,0.190168244090747,3.43479543173413E-05,3.07,6.037,186.251983642578,-232.778991699219,14.9308776855469,0,0,0,0,0,0,0.19006737686446,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71774116419887E+018,117.935997009277,-251.372299194336,13.5999994277954,0.001602172851563,-0.00091552734375,0,0.016021728515625,-0.0091552734375,0,0.187104526927963,0.003338934003674,0,0,143.955520629883,-249.411514282227,13.8824424743652,-3.17540002470196E-06,-9.24270534596872E-06,-2.39961605075223E-06,4.87263278046157E-05,4.78653419122566E-05,0.000960335193668,0.696199111373689,1.00632462267552E-05,3.07,6.037,215.466064453125,-236.484024047852,13.9642963409424,5.02170996696805E-06,-2.95206154987682E-05,8.39374024508288E-06,-5.01638169225771E-05,3.66102540283464E-05,-9.47540684137493E-05,0.190295576480367,3.10988614859191E-05,3.07,6.037,218.136688232422,-228.331008911133,13.9989643096924,-7.96453969087452E-06,2.38554912357358E-05,-1.34212268676492E-05,2.97623046208173E-05,-0.000169914259459,0.000403030251618,0.190168244090747,2.85069760798773E-05,3.07,6.037,186.251983642578,-232.778991699219,14.9308776855469,0,0,0,0,0,0,0.19006737686446,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71774116429888E+018,117.936256408691,-251.37255859375,13.5999994277954,0.002593994140625,-0.002593994140625,0,0.02593994140625,-0.02593994140625,0,0.18708292203362,0.00270667651963,0,0,143.955520629883,-249.411514282227,13.8824424743652,-5.50665890841628E-06,-8.36279195937095E-06,4.02840676372307E-08,-0.000112087000161,7.69989565014839E-05,0.000318911508657,0.696199111373689,1.00130517074199E-05,3.07,6.037,215.466064453125,-236.484024047852,13.9642963409424,5.48344087292207E-06,-2.77931230812101E-05,1.301442125623E-06,2.02991031983402E-05,0.000116419047117,-0.000509776757099,0.190295576480367,2.83587652414641E-05,3.07,6.037,218.136688232422,-228.331008911133,13.9989643096924,-7.95364394434728E-06,2.70985437964555E-05,-2.33016417041654E-05,1.18548086902592E-05,0.000142527729622,-0.000358065415639,0.190168244090747,3.66136318055334E-05,3.07,6.037,186.251983642578,-232.778991699219,14.9308776855469,0,0,0,0,0,0,0.19006737686446,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
